,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
3331,https://www.sgcarmart.com/used_cars/info.php?ID=1333000&DL=3807\,TOYOTA MRS 1.8 V-EDITION M,48188.0,16690.0,06-Aug-2007,,2007,1458.0,Manual,14719.0,15/09/2024,20498.0,22548.0,50972.0,792.0,1794.0,1010.0,,Sports Car,Petrol
3332,https://www.sgcarmart.com/used_cars/info.php?ID=1333098&DL=2549\,AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED),71300.0,15880.0,11-May-2018,77900.0,2018,392.0,Auto,31510.0,15/09/2024,24712.0,26597.0,38941.0,1188.0,999.0,1280.0,2.0,Luxury Sedan,Petrol
3333,https://www.sgcarmart.com/used_cars/info.php?ID=1313277&DL=2726\,B.M.W. X3 SDRIVE20I M SPORT,116300.0,22020.0,24-Oct-2018,61000.0,2018,1210.0,Auto,49059.0,15/09/2024,42657.0,51720.0,31301.0,1584.0,1998.0,1660.0,2.0,SUV,Petrol
3334,https://www.sgcarmart.com/used_cars/info.php?ID=1322987&DL=3283\,MERCEDES BENZ B180 STYLE (R16 LED),67800.0,15310.0,25-Jun-2018,72000.0,2018,740.0,Auto,26988.0,15/09/2024,27163.0,20029.0,37000.0,1188.0,1595.0,1425.0,3.0,Hatchback,Petrol
3335,https://www.sgcarmart.com/used_cars/info.php?ID=1313469&DL=3324\,PORSCHE 911 TARGA 4S TIPTRONIC,148888.0,67420.0,01-Dec-2006,,2006,5511.0,Auto,12378.0,15/09/2024,152381.0,167620.0,56053.0,792.0,3824.0,1650.0,,Sports Car,Petrol
3336,https://www.sgcarmart.com/used_cars/info.php?ID=1334537&DL=2341\,HONDA FIT 1.3GF CVT,63800.0,12850.0,14-Jun-2019,70000.0,2019,578.0,Auto,18185.0,15/09/2024,15636.0,5636.0,30009.0,1584.0,1317.0,1030.0,1.0,Hatchback,Petrol
3337,https://www.sgcarmart.com/used_cars/info.php?ID=1274073&DL=4577\,VOLKSWAGEN KOMBI 1.8 MANUAL,108888.0,19840.0,20-Jan-2020,,1973,280.0,Manual,4222.0,15/09/2024,7464.0,7464.0,3947.0,1980.0,1795.0,1325.0,1.0,Others,Petrol
3338,https://www.sgcarmart.com/used_cars/info.php?ID=1332897&DL=3350\,MERCEDES BENZ C180 AVG LN,233800.0,22440.0,25-Jan-2024,640.0,Luxury,682.0,2023,103496.0,15/09/2024,,,85010.0,3564.0,1496.0,1550.0,1.0,,Petrol-Electric
3339,https://www.sgcarmart.com/used_cars/info.php?ID=1316301&DL=3648\,MERCEDES BENZ E250 AVG (R18 LED),108777.0,21610.0,21-Dec-2017,125000.0,2017,1202.0,Auto,65444.0,15/09/2024,58073.0,76532.0,48109.0,1188.0,1991.0,1615.0,1.0,Luxury Sedan,Petrol
3340,https://www.sgcarmart.com/used_cars/info.php?ID=1329701&DL=1000\,,148000.0,16510.0,31-Mar-2004,,2004,1809.0,Manual,94686.0,15/09/2024,34045.0,37450.0,118357.0,3168.0,1994.0,1525.0,3.0,Sports Car,
3341,https://www.sgcarmart.com/used_cars/info.php?ID=1326062&DL=4508\,TOYOTA HARRIER 2.0 PREMIUM AT AIRBAG 2WD 5DR,62800.0,17410.0,28-Apr-2017,81200.0,2016,1196.0,Auto,34961.0,15/09/2024,33977.0,34568.0,54406.0,792.0,1986.0,1610.0,2.0,SUV,Petrol
3342,https://www.sgcarmart.com/used_cars/info.php?ID=1197787&DL=3579\,TOYOTA NOAH HYBRID 1.8X WELCAB TYPE 1,228800.0,26810.0,21-Dec-2022,3200.0,MPV,974.0,2022,87417.0,15/09/2024,,,95856.0,3168.0,1797.0,1680.0,1.0,,Petrol-Electric
3343,https://www.sgcarmart.com/used_cars/info.php?ID=1310857&DL=4398\,SEAT ARONA STYLE 1.0 TSI 116 7AT,91800.0,13180.0,25-Jun-2021,68000.0,2021,392.0,Auto,36150.0,15/09/2024,19839.0,5000.0,47821.0,2376.0,999.0,1210.0,4.0,SUV,Petrol
3344,https://www.sgcarmart.com/used_cars/info.php?ID=1258036&DL=1034\,TOYOTA VELLFIRE 2.5X CVT,163800.0,30720.0,12-Apr-2019,65566.0,2018,1792.0,Auto,50653.0,15/09/2024,39017.0,46624.0,39401.0,1584.0,2493.0,1940.0,3.0,MPV,Petrol
3345,https://www.sgcarmart.com/used_cars/info.php?ID=1328302&DL=4465\,HONDA CIVIC 1.6L VTI AUTO,,,12-Nov-2007,,2007,1110.0,Auto,,15/09/2024,17779.0,19557.0,41994.0,1188.0,1595.0,1220.0,4.0,Mid-Sized Sedan,Petrol
3346,https://www.sgcarmart.com/used_cars/info.php?ID=1333729&DL=3758\,HONDA FIT 1.3 GF CVT,61000.0,11050.0,16-Dec-2019,48000.0,2019,78.0,Auto,12886.0,15/09/2024,15970.0,5970.0,16009.0,1975.0,1317.0,1030.0,2.0,Hatchback,Petrol
