Unnamed: 0,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,CAR_AGE,REG_MONTH
3364,https://www.sgcarmart.com/used_cars/info.php?ID=1328455&DL=1277,BMW 2 Series 216i Active Tourer,116800.0,15020.0,14-Apr-21,30000.0,2020,684.0,Auto,56446.0,3/9/2024,30762.0,35067.0,45600.0,2400,1499.0,1380.0,2,Hatchback,3,4
3365,https://www.sgcarmart.com/used_cars/info.php?ID=1317628&DL=3750&utm_content=SLeligible,Mitsubishi Outlander 2.4A Sunroof,49800.0,10690.0,28-Oct-09,168000.0,2008,2454.0,Auto,16493.0,3/9/2024,31482.0,31482.0,35411.0,1677,2360.0,1660.0,4,SUV,15,10
3367,https://www.sgcarmart.com/used_cars/info.php?ID=1325004&DL=1028,Honda Vezel 1.5A X Honda Sensing,21800.0,15530.0,19-Oct-15,103000.0,2015,682.0,Auto,11254.0,3/9/2024,18719.0,8719.0,57498.0,400,1496.0,1190.0,1,SUV,9,10
3369,https://www.sgcarmart.com/used_cars/info.php?ID=1329392&DL=3931,Mercedes-Benz C-Class C180 Avantgarde,79800.0,18710.0,5-Oct-17,109800.0,2017,740.0,Auto,43862.0,3/9/2024,37239.0,44135.0,49189.0,1126,1595.0,1425.0,3,Luxury Sedan,7,10
3370,https://www.sgcarmart.com/used_cars/info.php?ID=1305066&DL=1032&utm_content=SLeligible,BMW 2 Series 216i Gran Tourer,76800.0,15350.0,14-Jun-18,100771.0,2018,684.0,Auto,38432.0,3/9/2024,32596.0,37635.0,38039.0,1365,1499.0,1480.0,1,MPV,6,6
3371,https://www.sgcarmart.com/used_cars/info.php?ID=1311656&DL=2870&utm_content=SLeligible,Honda Fit 1.5A RS,44988.0,11050.0,29-Sep-08,143000.0,2007,1023.0,Auto,13166.0,3/9/2024,17262.0,17262.0,32339.0,1465,1496.0,1100.0,3,Hatchback,16,9
3372,https://www.sgcarmart.com/used_cars/info.php?ID=1322758&DL=4064&utm_content=SLeligible,Honda Fit 1.3A GF,71800.0,13020.0,20-Dec-19,34000.0,2019,578.0,Auto,21715.0,3/9/2024,15730.0,5730.0,32889.0,1921,1317.0,1030.0,2,Hatchback,5,12
3373,https://www.sgcarmart.com/used_cars/info.php?ID=1306070&DL=1000&utm_content=SLeligible,Ssangyong Tivoli 1.6A,28000.0,11360.0,13-May-16,146000.0,2016,742.0,Auto,17142.0,3/9/2024,17660.0,17660.0,44001.0,614,1597.0,1300.0,3,SUV,8,5
3374,https://www.sgcarmart.com/used_cars/info.php?ID=1308814&DL=3426&utm_content=SLeligible,Mitsubishi Eclipse Cross 1.5A,82800.0,15520.0,15-Feb-19,65498.0,2018,684.0,Auto,33537.0,3/9/2024,25307.0,27430.0,32200.0,1611,1499.0,1490.0,1,SUV,5,2
3375,https://www.sgcarmart.com/used_cars/info.php?ID=1330491&DL=3122,Honda Civic 1.6A VTi,71800.0,14510.0,7-Dec-18,89998.0,2018,742.0,Auto,25988.0,3/9/2024,19964.0,19964.0,28199.0,1553,1597.0,1249.0,3,Mid-Sized Sedan,6,12
3376,https://www.sgcarmart.com/used_cars/info.php?ID=1296477&DL=3627&utm_content=SLeligible,Toyota Sienta 1.5A Standard,90800.0,15270.0,15-Jan-20,80000.0,2019,682.0,Auto,30630.0,3/9/2024,17719.0,17719.0,32309.0,1946,1496.0,1325.0,2,MPV,4,1
3378,https://www.sgcarmart.com/used_cars/info.php?ID=1330288&DL=1238,BMW X3 sDrive20i,39800.0,18130.0,30-Sep-15,160000.0,2015,1210.0,Auto,28946.0,3/9/2024,34819.0,40747.0,61010.0,371,1997.0,1680.0,1,SUV,9,9
3379,https://www.sgcarmart.com/used_cars/info.php?ID=1316037&DL=2792&utm_content=SLeligible,BMW 1 Series 116i Sportline,150800.0,15820.0,25-Jul-23,18329.0,2022,684.0,Auto,88781.0,3/9/2024,30886.0,20241.0,92000.0,2921,1499.0,1340.0,1,Hatchback,1,7
3380,https://www.sgcarmart.com/used_cars/info.php?ID=1312501&DL=2563&utm_content=SLeligible,Peugeot RCZ 1.6A Turbo,92800.0,14300.0,22-Mar-11,91000.0,2011,1039.0,Auto,25860.0,3/9/2024,36917.0,36917.0,39844.0,2345,1598.0,1336.0,2,Sports Car,13,3
3382,https://www.sgcarmart.com/used_cars/info.php?ID=1331639&DL=3973,Jaguar XK 4.2A Coupe,52800.0,21900.0,6-Feb-07,60200.0,2006,6384.0,Auto,12696.0,3/9/2024,94581.0,104040.0,52660.0,858,4196.0,1650.0,4,Sports Car,17,2
3383,https://www.sgcarmart.com/used_cars/info.php?ID=1328429&DL=3468,Toyota Vellfire 2.5A Elegance Moonroof,167800.0,27810.0,21-Aug-19,45000.0,2019,1792.0,Auto,64958.0,3/9/2024,48189.0,59465.0,47000.0,1497,2494.0,2045.0,1,MPV,5,8
3384,https://www.sgcarmart.com/used_cars/info.php?ID=1315437&DL=1144&utm_content=SLeligible,Honda Civic 1.6A VTi,72800.0,14610.0,21-Dec-18,100000.0,2018,742.0,Auto,26097.0,3/9/2024,19964.0,19964.0,28199.0,1557,1597.0,1249.0,1,Mid-Sized Sedan,6,12
3386,https://www.sgcarmart.com/used_cars/info.php?ID=1312467&DL=4365,Volkswagen Jetta GP 1.4A TSI Highline,24900.0,13310.0,27-Oct-15,81000.0,2015,620.0,Auto,17032.0,3/9/2024,19307.0,19307.0,56001.0,398,1390.0,1417.0,1,Mid-Sized Sedan,9,10
3387,https://www.sgcarmart.com/used_cars/info.php?ID=1312817&DL=4412&utm_content=SLeligible,MINI Cooper Clubman 1.5A,36800.0,17160.0,20-Jan-16,96000.0,2015,684.0,Auto,22054.0,3/9/2024,28083.0,26317.0,55001.0,491,1499.0,1320.0,4,Hatchback,8,1
3389,https://www.sgcarmart.com/used_cars/info.php?ID=1305962&DL=2448&utm_content=SLeligible,Mercedes-Benz GLB-Class GLB180 Progressive,192800.0,21860.0,21-Jul-22,23000.0,2022,586.0,Auto,87199.0,3/9/2024,35045.0,41063.0,71556.0,2562,1332.0,1550.0,1,SUV,2,7
