,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
4953,https://www.sgcarmart.com/used_cars/info.php?ID=1266889&DL=3973,MG MGB Roadster,72000,7430,3-Aug-66,96950,1966,,Manual,7930,3/9/2024,,,9912,3531,1798,,,Sports Car
4954,https://www.sgcarmart.com/used_cars/info.php?ID=1317269&DL=3452&utm_content=SLeligible,Honda Jazz 1.5A RS,60800,12150,28-Aug-14,137000,2014,684,Auto,,3/9/2024,16383,6383,,1825,1498,1046,2,Hatchback
4955,https://www.sgcarmart.com/used_cars/info.php?ID=1310849&DL=4108&utm_content=SLeligible,Citroen C4 Picasso Diesel 1.6A BlueHDi,25800,10270,23-Sep-16,140000,Hatchback,1144,2016,16238,3/9/2024,,,51506,739,1560,1320,1,
4956,https://www.sgcarmart.com/used_cars/info.php?ID=1330633&DL=2563&utm_content=SLeligible,Mercedes-Benz E-Class E200 NGT,41888,10070,31-Oct-08,209000,2008,1461,Auto,13425,3/9/2024,53998,32399,32279,1497,1796,1690,3,Luxury Sedan
4957,https://www.sgcarmart.com/used_cars/info.php?ID=1332095&DL=3750&utm_content=SLeligible,Hyundai Avante 1.6A S,34800,8540,12-Nov-08,115000,2008,1107,Auto,13184,3/9/2024,11837,8638,32339,1467,1591,1264,3,Mid-Sized Sedan
4958,https://www.sgcarmart.com/used_cars/info.php?ID=1331602&DL=2303,Honda Fit 1.3A,115800,12670,11-Aug-23,8500,2021,578,Auto,83349,3/9/2024,17590,5000,99499,2957,1317,1080,1,Hatchback
4959,https://www.sgcarmart.com/used_cars/info.php?ID=1332920&DL=2140,Hyundai Avante 1.6A GLS S,65800,13050,26-Feb-19,40000,2019,738,Auto,22025,3/9/2024,14623,14623,26301,1612,1591,1345,2,Mid-Sized Sedan
4960,https://www.sgcarmart.com/used_cars/info.php?ID=1317799&DL=3887&utm_content=SLeligible,Kia Cerato 1.6A GT Line SX Sunroof,123088,14340,18-Jul-22,43000,2021,738,Auto,76716,3/9/2024,20284,20398,78001,2559,1591,1287,1,Mid-Sized Sedan
4961,https://www.sgcarmart.com/used_cars/info.php?ID=1330290&DL=2080,Hyundai Elantra 1.6A GLS,21800,11800,24-Dec-15,126000,2015,738,Auto,14061,3/9/2024,12810,12810,53794,455,1591,1292,3,Mid-Sized Sedan
4962,https://www.sgcarmart.com/used_cars/info.php?ID=1304397&DL=2563&utm_content=SLeligible,BMW M135i xDrive,189888,24040,22-Apr-21,36000,2020,1210,Auto,86224,3/9/2024,49178,60850,61190,2408,1998,1525,3,Sports Car
4963,https://www.sgcarmart.com/used_cars/info.php?ID=1275894&DL=1193&utm_content=SLeligible,Citroen C3 Aircross 1.2A PureTech Feel,68800,12830,29-May-19,31000,2018,508,Auto,24069,3/9/2024,16124,16124,27000,1705,1199,1203,2,SUV
4964,https://www.sgcarmart.com/used_cars/info.php?ID=1290824&DL=1421&utm_content=SLeligible,Toyota Rav4 2.4A,67800,12820,17-Dec-09,105693,2009,2457,Auto,20787,3/9/2024,27887,27887,39313,1918,2362,1605,2,SUV
4965,https://www.sgcarmart.com/used_cars/info.php?ID=1280227&DL=3283&utm_content=SLeligible,Mercedes-Benz A-Class A180 Style,67800,16220,12-Feb-18,85000,2017,740,Auto,28736,3/9/2024,22847,23986,38200,1253,1595,1395,2,Hatchback
4966,https://www.sgcarmart.com/used_cars/info.php?ID=1329988&DL=3758,Kia Niro Hybrid 1.6A GDi DCT Sunroof,51800,16630,22-Aug-17,98800,SUV,732,2017,18922,3/9/2024,,,53711,768,1580,1425,1,
4967,https://www.sgcarmart.com/used_cars/info.php?ID=1332105&DL=4412,BMW 3 Series 318i,35800,16500,18-Dec-15,88558,2015,684,Auto,23732,3/9/2024,30072,29101,60001,459,1499,1425,2,Luxury Sedan
4968,https://www.sgcarmart.com/used_cars/info.php?ID=1332848&DL=1000&utm_content=SLeligible,Subaru Legacy 2.5i-S Sunroof,27500,12460,29-Jan-16,126545,2015,1798,Auto,18732,3/9/2024,20037,20052,54920,490,2498,1604,1,Luxury Sedan
4969,https://www.sgcarmart.com/used_cars/info.php?ID=1327457&DL=4688&utm_content=SLeligible,Mazda 6 2.0A,64888,12970,17-Oct-14,110000,2014,1210,Auto,,3/9/2024,19422,9422,,1825,1998,1438,2,Luxury Sedan
4970,https://www.sgcarmart.com/used_cars/info.php?ID=1310987&DL=1228&utm_content=SLeligible,Suzuki Swift 1.4A Special Edition,41500,13990,13-Mar-17,90500,2016,610,Auto,19955,3/9/2024,12493,12493,49430,919,1372,1055,1,Hatchback
4971,https://www.sgcarmart.com/used_cars/info.php?ID=1323496&DL=4074&utm_content=SLeligible,Porsche Macan S 2.9A PDK,334000,36920,3-Jun-22,52000,2021,2262,Auto,141575,3/9/2024,68753,95756,90002,2795,2894,2005,1,SUV
4972,https://www.sgcarmart.com/used_cars/info.php?ID=1323281&DL=3570&utm_content=SLeligible,Porsche Cayenne 3.0A Tip,396888,42410,14-Jul-22,1383,2022,2380,Auto,179898,3/9/2024,84930,126846,107800,2555,2995,2060,1,SUV
4973,https://www.sgcarmart.com/used_cars/info.php?ID=1302165&DL=1344,Mazda MX-5 2.0A,27800,18520,6-Mar-06,102064,2005,1818,Auto,7647,3/9/2024,29329,32262,50932,547,1999,1151,4,Sports Car
4974,https://www.sgcarmart.com/used_cars/info.php?ID=1306967&DL=2410&utm_content=SLeligible,Bentley Continental GT 4.0A V8 S,318800,62360,1-Nov-16,84000,2014,3940,Auto,232920,3/9/2024,220197,368355,55201,768,3993,2295,5,Sports Car
4975,https://www.sgcarmart.com/used_cars/info.php?ID=1284422&DL=2080,BMW 3 Series 320i,23800,10630,30-Nov-06,,2006,1812,Auto,12547,3/9/2024,42110,46321,56053,796,1995,1395,,Luxury Sedan
4976,https://www.sgcarmart.com/used_cars/info.php?ID=1317834&DL=3750&utm_content=SLeligible,Toyota Allion 1.5A,39800,9290,16-Dec-08,142000,2008,1023,Auto,11814,3/9/2024,14594,14594,27571,1552,1496,1200,4,Mid-Sized Sedan
4977,https://www.sgcarmart.com/used_cars/info.php?ID=1274790&DL=3283&utm_content=SLeligible,BMW 5 Series 523i Highline Sunroof,74802,12310,30-Nov-10,144000,2010,2514,Auto,21229,3/9/2024,45588,45588,34935,2197,2497,1725,5,Luxury Sedan
4978,https://www.sgcarmart.com/used_cars/info.php?ID=1330414&DL=3163,Mazda CX-30 2.0A Luxury Sunroof,108800,15870,23-Jul-20,25000,2020,1210,Auto,41300,3/9/2024,27734,30828,30890,1834,1998,1453,2,SUV
4979,https://www.sgcarmart.com/used_cars/info.php?ID=1304583&DL=4241&utm_content=SLeligible,Mazda 2 HB 1.5A,51800,10920,26-Jun-14,106392,2014,752,Auto,40098,3/9/2024,12479,7479,42275,1708,1498,1046,2,Hatchback
4980,https://www.sgcarmart.com/used_cars/info.php?ID=1325728&DL=2093&utm_content=SLeligible,Ferrari 458 Spider,600000,70850,20-Feb-13,41000,2012,5674,Auto,86698,3/9/2024,400580,400580,108373,3076,4497,1565,3,Sports Car
